"ПН","08:30-09:50","1-225","Теоретична фізика","0","Голод П. ","2-12"
"ПН","10:00-11:20","1-225","Теоретична фізика","0","Голод П. ","2,3"
"ПН","10:00-11:20","3-220а","Теоретична фізика","1","Бутенко Д. ","4-12"
"ПН","11:40-13:00","4-312","Теоретична фізика","2","Бутенко Д. ","4-12"
"ВТ","08:30-09:50","3-302","Чисельні методи","0","Кашпіровський О. ","1-12"
"ВТ","10:00-11:20","1-306","Чисельні методи","1","Кашпіровський О. ","1-12"
"ВТ","10:00-11:20","2-204","Чисельні методи","2","Прокоф’єв П. ","1-12"
"ВТ","11:40-13:00","2-204","Чисельні методи","3","Прокоф’єв П. ","1-12"
"ВТ","13:30-14:50","3-220а","Чисельні методи","0","Кашпіровський О. ","1"
"ВТ","13:30-14:50","1-208","Чисельні методи","1","Кашпіровський О. ","2"
"ВТ","13:30-14:50","1-313","Чисельні методи","2","Прокоф’єв П. ","4"
"ВТ","13:30-14:50","1-313","Чисельні методи","3","Прокоф’єв П. ","5"
"СР","08:30-09:50","1-112","Теоретична фізика","1","Бутенко Д. ","1-12"
"СР","10:00-11:20","1-112","Теоретична фізика","2","Бутенко Д. ","1-12"
"СР","11:40-13:00","1-309","Випадкові процеси, фінансова математика","1","Щестюк Н. ","1-12"
"СР","13:30-14:50","1-313","Випадкові процеси, фінансова математика","0","Щестюк Н. ","1-12"
"СР","15:00-16:20","1-313","Випадкові процеси, фінансова математика","2","Щестюк Н. ","1-12"
"СР","16:30-17:50","1-225","Випадкові процеси, фінансова математика","0","Щестюк Н. ","1"
"СР","16:30-17:50","1-225","Випадкові процеси, фінансова математика","1","Щестюк Н. ","2"
"СР","16:30-17:50","1-225","Випадкові процеси, фінансова математика","2","Щестюк Н. ","3"
"ЧТ","08:30-09:50","1-306","Методи та засоби обробки інформації","1","Щестюк Н. ","1,2"
"ЧТ","10:00-11:20","1-306","Методи та засоби обробки інформації","0","Щестюк Н. ","1-10"
"ЧТ","10:00-11:20","1-306","Методи та засоби обробки інформації","1","Щестюк Н. ","11,12"
"ЧТ","11:40-13:00","1-306","Методи та засоби обробки інформації","1","Щестюк Н. ","1-12"
"ПТ","10:00-11:20","1-112","Теоретична фізика","1","Бутенко Д. ","1-5"
"ПТ","11:40-13:00","1-313","Теоретична фізика","2","Бутенко Д. ","1-5"
