"ПН","08:30-09:50","1-307","Платформи корпоративних інформаційних систем","0","Гломозда Д. ","1-11"
"ПН","10:00-11:20","1-307","Платформи корпоративних інформаційних систем","1","Шабінський А. ","1-12"
"ПН","11:40-13:00","1-310","Агентні технології","0","Кривонос Ю. ","1-15"
"ПН","13:30-14:50","1-310","Агентні технології","1","Кривонос Ю. ","1-15"
"ВТ","08:30-09:50","1-331","Теоретичні та практичні аспекти онтології","0","Глибовець А. ","1-15"
"ВТ","10:00-11:20","1-331","Теоретичні та практичні аспекти онтології","1","Глибовець А. ","1-15"
"ВТ","11:40-13:00","1-310","Методика викладання інформатики у  вищій школі","0","Ковальський І. ","1-7"
"ВТ","11:40-13:00","1-310","Методика викладання інформатики у  вищій школі","1","Ковальський І. ","9-14"
"ВТ","13:30-14:50","1-306","Методика викладання інформатики у  вищій школі","1","Ковальський І. ","1-7"
"СР","11:40-13:00","1-313","Філософія ( поглиблений курс)","0","Лютий Т. ","1-15"
"СР","13:30-14:50","1-225","Філософія ( поглиблений курс)","1","Лютий Т. ","3-10"
"ЧТ","08:30-09:50","1-309","Компонентно-орієнтоване програмування","0","Гломозда Д. ","1-15"
"ЧТ","10:00-11:20","1-309","Компонентно-орієнтоване програмування","1","Шабінський А. ","1-15"
