"     ""Затверджую""",,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,
,,,,,,
"Розклад занять на додатковий період весняного семестру 2011/12 н.р. ФПвН 3 р.н.",,,,,,
,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.","нема 1 т"
,,,,,,
"Пн.","10.00-11.20","2,4,6","ННС ""Захист інтересів держави в Міжнародному ",1,"4-314",
,,,"Суді Справедливості ООН""-доц. Антонович М.М.",,,
,,"3,5","Основи охорони праці -проф. Копань В.С.","Лекція","4-101",
,"11.40-13.00","2-6","Основи охорони праці -проф. Копань В.С.","Лекція","4-101",
,"13.30-14.50","2-6","Кримінальне право- доц. Азаров Д.С.","Лекція","4-101",
,"15.00-16.20","2-6","Кримінальне право- доц. Азаров Д.С.","Лекція","4-101",
,"16.30-17.50",2,"Контрольні механізми як засоби імплементації","Лекція","4-314",
,,," міжнародних стандартів прав людини - cт. викл. Крахмальова К.О.",,,
,,3.4,"Контрольні механізми як засоби імплементації",1,"4-314",
,,," міжнародних стандартів прав людини - cт. викл. Крахмальова К.О.",,,
"Вт.","08.30-09.50","1","Право та суспільство - ст. викл. Асадча О.І.","Лекція","4-319","нема 3 т"
,,"2,4-6","Кримінальне право- доц.Горох О.П.",3,"4-314",
,"10.00-11.20","1","Кримінальне право- доц. Азаров Д.С.","Лекція","4-101",
,,"2,4-6","Кримінальне право- доц.Горох О.П.",1,"4-314",
,"11.40-13.00","1,2,4-6","Кримінологія - проф. Костенко О.М.","Лекція","4-425",
,"13.30-14.50","1,2,4-6","Кримінологія - проф. Костенко О.М.","Лекція","4-425",
,"15.00-16.20","2,4-6","Кримінологія - проф. Костенко О.М.",1,"4-425",
,"16.30-17.50","2,4-6","Кримінальне право- доц.Горох О.П.",2,"4-314",
"Ср.","08.30-09.50",,,,,"нема 3,4 т"
,"10.00-11.20","1,2,5","Контрольні механізми як засоби імплементації","Лекція","4-317",
,,," міжнародних стандартів прав людини - cт. викл. Крахмальова К.О.",,,
,"11.40-13.00","2,5","Контрольні механізми як засоби імплементації",1,"4-317",
,,," міжнародних стандартів прав людини - cт. викл. Крахмальова К.О.",,,
,"13.30-14.50","1,2,5,6","Права людини та їх захист-доц. Савенко М.Д.","Лекція","4-101",
,"15.00-16.20","1,2,5,6","Права людини та їх захист-доц. Савенко М.Д.","Лекція","4-101",
"Чт.","08.30-09.50","1-6","Право та суспільство - ст. викл. Асадча О.І.",1,"8-12",
,"10.00-11.20","1-5","Право та суспільство - ст. викл. Асадча О.І.","Лекція","8-12",
,"11.40-13.00","1-3","Цивільне процесуальне право - ","Лекція","4-100",
,,,"доц. Ханик-Посполітак Р.Ю.",,,
,,"4-6","Кримінологія - проф. Костенко О.М.",1,"8-11",
,"13.30-14.50","1-6","Кримінальне право- доц.Горох О.П.",2,"4-314",
,"15.00-16.20","5,6","Юридичний практикум- ст.викл. Матвєєва Ю.І.",1,"9-4",
,,"1-6","Кримінальне право- доц.Горох О.П.",3,"4-314",
,,"2-4","Права людини та їх захист-доц. Савенко М.Д.",1,"4-317",
,"16.30-17.50","1-6","Кримінальне право- доц.Горох О.П.",1,"4-314",
,,"2-4","Права людини та їх захист-доц. Савенко М.Д.",2,"4-317",
,,"5,6","Юридичний практикум- ст.викл. Матвєєва Ю.І.",2,"9-4",
"Пт.","08.30-09.50","2,3,5,6","Права людини та їх захист-доц. Савенко М.Д.",1,"4-317",
,"10.00-11.20","2-4","Цивільне процесуальне право - ",1,"9-8",
,,,"доц. Ханик-Посполітак Р.Ю.",,,
,,"2,3,5,6","Права людини та їх захист-доц. Савенко М.Д.",2,"4-100",
,"11.40-13.00","2-4","Цивільне процесуальне право - ",3,"9-8",
,,,"доц. Ханик-Посполітак Р.Ю.",,,
,,"1","Права людини та їх захист- доц. Савенко М.Д.","Лекція","4-101",
,"13.30-14.50","2-4","Цивільне процесуальне право - ",2,"9-8",
,,,"доц. Ханик-Посполітак Р.Ю.",,,
,,"1","Права людини та їх захист-доц. Савенко М.Д.","Лекція","4-100",
,"15.00-16.20","1-6","Юридичний практикум- ст.викл. Матвєєва Ю.І.",1,"9-4",
,"16.30-17.50","1-6","Юридичний практикум- ст.викл. Матвєєва Ю.І.",2,"9-4",
,"Провідний спеціаліст деканату ",,,"Кучер В.П.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,"проф. Мусіяка В.Л.",,,
