"ПН","11:40-13:00","1-108","Програмування","1","Глибовець А. ","2-12"
"ПН","15:00-16:20","1-310","Програмування","0","Глибовець А. ","2-4"
"ПН","15:00-16:20","1-331","Програмування","2","Глибовець А. ","5-12"
"ПН","16:30-17:50","1-331","Програмування","1","Глибовець А. ","8-10"
"ВТ","11:40-13:00","3-302","Дискретна  математика","0","Чорней Р. ","1-12"
"ВТ","13:30-14:50","3-302","Дискретна  математика","1","Чорней Р. ","1-12"
"ВТ","15:00-16:20","3-302","Дискретна  математика","0","Чорней Р. ","1,2"
"ВТ","15:00-16:20","3-302","Дискретна  математика","1","Чорней Р. ","3,4"
"СР","08:30-09:50","1-313","Математичний аналіз","0","Митник Ю. ","1,2"
"СР","08:30-09:50","1-313","Математичний аналіз","1","Митник Ю. ","3,4"
"СР","10:00-11:20","1-223","Математичний аналіз","0","Митник Ю. ","1-12"
"СР","11:40-13:00","1-223","Математичний аналіз","1","Митник Ю. ","1-12"
"СР","13:30-14:50","3-220а","Алгебра та геометрія","1","Дяченко С. ","1-12"
"ЧТ","11:40-13:00","1-223","Алгебра та геометрія","0","Дяченко С. ","1-12"
"ЧТ","13:30-14:50","3-302","Алгебра та геометрія","1","Дяченко С. ","1-12"
"ЧТ","15:00-16:20","3-302","Алгебра та геометрія","0","Дяченко С. ","1,2"
"ЧТ","15:00-16:20","3-302","Алгебра та геометрія","1","Дяченко С. ","3-6"
"ЧТ","16:30-17:50","3-220а","Екологія","3","Альошкіна У. ","6-11"
